source,type,value,malware_family,country,tags,confidence,timestamp,pulse_name
alienvault,IPv4,91.199.163.124,SilabRAT,unknown,"darkweb forums,credential theft,hijackloader,asmcrypt,browser profile cloning,hvnc,session hijacking,silabrat,maas,cryptocurrency wallet,clickfix",50,2026-06-10 11:58:30.228000,"SilabRAT, What's Your Power?"
alienvault,FileHash-SHA256,3a6adbe0081b2488e0f137496e92591e0c29148154b2d99faadab9cc435b879b,SilabRAT,unknown,"darkweb forums,credential theft,hijackloader,asmcrypt,browser profile cloning,hvnc,session hijacking,silabrat,maas,cryptocurrency wallet,clickfix",50,2026-06-10 11:58:30.228000,"SilabRAT, What's Your Power?"
alienvault,FileHash-SHA256,79f8da9f9fb4ac7c16d9c210f1f6ef418357a3e7bf602b1dd03a490596fa58c5,SilabRAT,unknown,"darkweb forums,credential theft,hijackloader,asmcrypt,browser profile cloning,hvnc,session hijacking,silabrat,maas,cryptocurrency wallet,clickfix",50,2026-06-10 11:58:30.228000,"SilabRAT, What's Your Power?"
alienvault,FileHash-SHA256,fb56e66920c84ef9e51db0ea23144f5755daef97cbff8613b05ab56d0dc9d623,SilabRAT,unknown,"darkweb forums,credential theft,hijackloader,asmcrypt,browser profile cloning,hvnc,session hijacking,silabrat,maas,cryptocurrency wallet,clickfix",50,2026-06-10 11:58:30.228000,"SilabRAT, What's Your Power?"
alienvault,FileHash-SHA256,fbce30a0c852972fdc24f1b6a7c270512a50ef1a7c6c88c88b92a2dcbdfdd023,SilabRAT,unknown,"darkweb forums,credential theft,hijackloader,asmcrypt,browser profile cloning,hvnc,session hijacking,silabrat,maas,cryptocurrency wallet,clickfix",50,2026-06-10 11:58:30.228000,"SilabRAT, What's Your Power?"
alienvault,CVE,CVE-2024-55591,Gentlemen,United States of America,"double extortion,gentlemen,anydesk,storm-2697,ransomware-as-a-service,cve-2024-55591,lateral movement,go binary,systembc,cobalt strike,breachforums partnership,larva-368,xchacha20 encryption",50,2026-06-10 11:58:42.962000,Ransomware Analysis: Go Binary and Fast Encryption
alienvault,FileHash-SHA256,3ab9575225e00a83a4ac2b534da5a710bdcf6eb72884944c437b5fbe5c5c9235,Gentlemen,United States of America,"double extortion,gentlemen,anydesk,storm-2697,ransomware-as-a-service,cve-2024-55591,lateral movement,go binary,systembc,cobalt strike,breachforums partnership,larva-368,xchacha20 encryption",50,2026-06-10 11:58:42.962000,Ransomware Analysis: Go Binary and Fast Encryption
alienvault,FileHash-MD5,4200b46a93c6ab059e2b34ce200c4a5b,Gentlemen,United States of America,"double extortion,gentlemen,anydesk,storm-2697,ransomware-as-a-service,cve-2024-55591,lateral movement,go binary,systembc,cobalt strike,breachforums partnership,larva-368,xchacha20 encryption",50,2026-06-10 11:58:42.962000,Ransomware Analysis: Go Binary and Fast Encryption
alienvault,FileHash-SHA1,42bcc743c71a9ea083c1c750a398110582796762,Gentlemen,United States of America,"double extortion,gentlemen,anydesk,storm-2697,ransomware-as-a-service,cve-2024-55591,lateral movement,go binary,systembc,cobalt strike,breachforums partnership,larva-368,xchacha20 encryption",50,2026-06-10 11:58:42.962000,Ransomware Analysis: Go Binary and Fast Encryption
alienvault,domain,tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,Gentlemen,United States of America,"double extortion,gentlemen,anydesk,storm-2697,ransomware-as-a-service,cve-2024-55591,lateral movement,go binary,systembc,cobalt strike,breachforums partnership,larva-368,xchacha20 encryption",50,2026-06-10 11:58:42.962000,Ransomware Analysis: Go Binary and Fast Encryption
